 , ,座標値, ,サイズ, ,
パーツ名称,不透明度 [%],X,Y,X,Y,
markframe1,,,,,,
markframe 76x76,100,393,140,76,76,
markframe 76x76,100,393,64,76,76,
markframe 76x76,100,309,140,76,76,
markframe 76x76,100,309,64,76,76,
markframe 76x76,100,225,140,76,76,
markframe 76x76,100,141,140,76,76,
markframe 76x76,100,225,64,76,76,
markframe 76x76,100,141,64,76,76,
markframe 76x76,100,783,140,76,76,
markframe 76x76,100,783,64,76,76,
markframe 76x76,100,699,140,76,76,
markframe 76x76,100,699,64,76,76,
markframe 76x76,100,615,140,76,76,
markframe 76x76,100,531,140,76,76,
markframe 76x76,100,615,64,76,76,
markframe 76x76,100,531,64,76,76,
markframe2,,,,,,
markframe 28x28,100,227,276,28,28,
markframe 28x28,100,125,276,28,28,
markframe 28x28,100,227,240,28,28,
markframe 28x28,100,125,240,28,28,
markframe 28x28,100,227,452,28,28,
markframe 28x28,100,125,452,28,28,
markframe 28x28,100,227,416,28,28,
markframe 28x28,100,125,416,28,28,
markframe 28x28,100,617,452,28,28,
markframe 28x28,100,515,452,28,28,
markframe 28x28,100,617,416,28,28,
markframe 28x28,100,515,416,28,28,
markframe 28x28,100,617,276,28,28,
markframe 28x28,100,515,276,28,28,
markframe 28x28,100,617,240,28,28,
markframe 28x28,100,515,240,28,28,
markframe3,,,,,,
markframe 62x62,100,678,304,194,128,
markframe 12x12,100,816,321,12,12,
markframe 12x12,100,722,321,12,12,
markframe4 5,,,,,,
markframe 50x50,100,130,512,50,50,
markframe 50x50,100,130,572,50,50,
markframe 60x60,100,318,513,60,60,
markframe 116x44,100,384,519,116,44,
markframe 12x12,100,235,545,12,12,
markframe 90x6,100,196,548,90,6,
markframe 12x12,100,235,608,12,12,
markframe 90x6,100,196,611,90,6,
markframe 12x12,100,436,608,12,12,
markframe 90x6,100,397,611,90,6,
markframe6,,,,,,
markframe 64x64,100,536,512,64,64,
markframe 40x40,100,548,582,40,40,
markframe 116x44,100,616,521,116,44,
markframe 116x44,100,748,521,116,44,
markframe 248x44,100,616,580,248,44,
background markframe,,,,,,
markframe 384x164,100,113,58,384,164,
markframe 384x164,100,503,58,384,164,
markframe 544x264,100,113,228,544,264,
markframe 224x264,100,663,228,224,264,
markframe 184x134,100,113,498,184,134,
markframe 204x134,100,303,498,204,134,
markframe  374x134,100,513,498,374,134,
markframe 1000x650,100,0,0,1000,650,
textframe ,,,,,,
textframe (L) 24x24,100,353,598,40,32,
textframe (R) 24x24,100,311,598,40,32,
textframe (L) 24x24,100,246,574,40,32,
textframe (R) 24x24,100,188,574,56,32,
textframe (L) 24x24,100,246,511,40,32,
textframe (R) 24x24,100,188,511,56,32,
textframe (L) 20x20,100,195,240,420,240,
textframe (R) 20x20,100,155,240,428,240,
textframe(C) 28x28,100,400,12,200,40,
DM001,100,453,22,94,20,
6,,,,,,
P,100,616,582,248,44,
R,100,616,582,248,44,
N,100,616,582,248,44,
D,100,616,582,248,44,
P B,100,548,584,40,40,
P A,100,548,584,40,41,
power off,100,536,512,64,64,
power on,100,536,512,64,64,
Engine ON B,100,748,523,116,44,
Engine ON C,100,748,523,116,44,
Engine ON A,100,748,523,116,44,
Power ON B,100,616,523,116,44,
Power ON A,100,616,523,116,44,
Power ON C,100,616,523,116,44,
bg_power,100,513,500,374,134,
5,,,,,,
accelerator_icon,100,316,513,64,65,
accelerator_B,100,384,521,116,44,
accelerator_A,100,384,521,116,44,
TEXT_RGB 255 255 255_24pt,100,327,606,43,17,
progressnumber,100,436,608,12,12,
progress,100,397,611,45,6,
progressbase,100,397,611,90,6,
bg_accelerator,100,303,500,204,134,
4,,,,,,
gas,100,134,515,42,44,
TEXT_RGB 255 255 255_24pt,100,220,519,43,17,
progressnumber,100,235,545,12,12,
progress,100,196,548,44,6,
progressbase,100,196,548,90,6,
temperature,100,150,577,7,38,
TEXT_RGB 255 255 255_24pt,100,218,582,47,18,
progressnumber,100,235,608,12,12,
progress,100,196,611,45,6,
progressbase,100,196,611,90,6,
bg_gas,100,113,500,184,134,
3,,,,,,
leftfrontdoor,100,680,308,62,58,
rightfrontdoor,100,808,306,61,57,
leftbackdoor,100,679,373,62,54,
rightbackdoor,100,809,373,62,54,
rightmirror,100,816,321,11,11,
leftmirror,100,723,321,11,11,
car,100,731,252,89,194,
backdoor,100,728,252,94,225,
bg_door,100,663,230,224,264,
2,,,,,,
TEXT_RGB 255 255 255_20pt,100,167,247,446,226,
minus,100,227,240,418,240,
plus,100,125,240,418,240,
tire,100,275,283,219,154,
car,100,240,282,291,156,
background_tire,100,113,230,544,264,
1,,,,,,
light push,100,146,70,707,142,
light normal,100,154,79,691,124,
bg_light,100,503,60,384,164,
bg_light,100,113,60,384,164,
bg,100,0,0,1000,650,
